,sample,study,project,condition,rep_id,Strain Description,Strain,Culture Type,Evolved Sample,Base Media,Temperature (C),pH,Carbon Source (g/L),Nitrogen Source (g/L),Electron Acceptor,Trace Element Mixture,Supplement,Antibiotic for selection,Growth Rate (1/hr),Isolate Type,Additional Details,project_reference,Sequencing Machine,LibraryLayout,Platform,Biological Replicates,doi,GEO,SRX,Run,R1,R2,contact,creator,passed_fastqc,passed_pct_reads_mapped,passed_reads_mapped_to_CDS,passed_global_correlation,full_name,passed_similar_replicates,passed_number_replicates,run_date,n_replicates,,,,,,,
p1k_00136,42c__42c_ale4__1,42C Evolution,42c,42c_ale4,1,Escherichia coli 42C.4.161.1,MG1655,Batch,Endpoint,M9,42,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,1.03,Clonal,42C A4 F161 I1,p1k_00132,MiSeq,PAIRED,ILLUMINA,1,doi.org/10.1093/molbev/msu209,GSE132442,SRX6027828,SRR9257367,s3://precise-db/raw_data/42c/ALE-42-glu-end-point-Clone-4_S1_L001_R1_001.fastq.gz,s3://precise-db/raw_data/42c/ALE-42-glu-end-point-Clone-4_S1_L001_R2_001.fastq.gz,Ryan LaCroix,Richard Szubin,True,True,True,True,42c:42c_ale4,True,False,5/2/13,1,,,,,,,
p1k_00137,42c__42c_ale5__1,42C Evolution,42c,42c_ale5,1,Escherichia coli 42C.5.125.1,MG1655,Batch,Endpoint,M9,42,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,0.94,Clonal,42C A5 F125 I1,p1k_00132,MiSeq,PAIRED,ILLUMINA,1,doi.org/10.1093/molbev/msu209,GSE132442,SRX6027829,SRR9257368,s3://precise-db/raw_data/42c/ALE-42-glu-end-point-Clone-5_S2_L001_R1_001.fastq.gz,s3://precise-db/raw_data/42c/ALE-42-glu-end-point-Clone-5_S2_L001_R2_001.fastq.gz,Ryan LaCroix,Richard Szubin,True,True,True,True,42c:42c_ale5,True,False,5/2/13,1,,,,,,,
p1k_00138,42c__42c_ale6__1,42C Evolution,42c,42c_ale6,1,Escherichia coli 42C.6.164.1,MG1655,Batch,Endpoint,M9,42,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,0.97,Clonal,42C A6 F164 I1,p1k_00132,MiSeq,PAIRED,ILLUMINA,1,doi.org/10.1093/molbev/msu209,GSE132442,SRX6027830,SRR9257369,s3://precise-db/raw_data/42c/ALE-42-glu-end-point-Clone-6_S1_L001_R1_001.fastq.gz,s3://precise-db/raw_data/42c/ALE-42-glu-end-point-Clone-6_S1_L001_R2_001.fastq.gz,Ryan LaCroix,Richard Szubin,True,True,True,True,42c:42c_ale6,True,False,5/3/13,1,,,,,,,
p1k_00139,42c__42c_ale8__1,42C Evolution,42c,42c_ale8,1,Escherichia coli 42C.8.164.1,MG1655,Batch,Endpoint,M9,42,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,0.95,Clonal,42C A8 F164 I1,p1k_00132,MiSeq,PAIRED,ILLUMINA,1,doi.org/10.1093/molbev/msu209,GSE132442,SRX6027831,SRR9257370,s3://precise-db/raw_data/42c/ALE-42-glu-end-point-Clone-8_S2_L001_R1_001.fastq.gz,s3://precise-db/raw_data/42c/ALE-42-glu-end-point-Clone-8_S2_L001_R2_001.fastq.gz,Ryan LaCroix,Richard Szubin,True,True,True,True,42c:42c_ale8,True,False,5/2/13,1,,,,,,,
p1k_00140,42c__42c_ale9__1,42C Evolution,42c,42c_ale9,1,Escherichia coli 42C.9.131.1,MG1655,Batch,Endpoint,M9,42,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,0.92,Clonal,42C A9 F131 I1,p1k_00132,MiSeq,PAIRED,ILLUMINA,1,doi.org/10.1093/molbev/msu209,GSE132442,SRX6027832,SRR9257371,s3://precise-db/raw_data/42c/ALE-42-glu-end-point-Clone-9_S2_L001_R1_001.fastq.gz,s3://precise-db/raw_data/42c/ALE-42-glu-end-point-Clone-9_S2_L001_R2_001.fastq.gz,Ryan LaCroix,Richard Szubin,True,True,True,True,42c:42c_ale9,True,False,5/3/13,1,,,,,,,
p1k_00141,42c__42c_ale10__1,42C Evolution,42c,42c_ale10,1,Escherichia coli 42C.10.153.1,MG1655,Batch,Endpoint,M9,42,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,0.98,Clonal,42C A10 F153 I1,p1k_00132,MiSeq,PAIRED,ILLUMINA,1,doi.org/10.1093/molbev/msu209,GSE132442,SRX6027833,SRR9257372,s3://precise-db/raw_data/42c/ALE-42-glu-end-point-Clone-10_S2_L001_R1_001.fastq.gz,s3://precise-db/raw_data/42c/ALE-42-glu-end-point-Clone-10_S2_L001_R2_001.fastq.gz,Ryan LaCroix,Richard Szubin,True,True,True,True,42c:42c_ale10,True,False,5/3/13,1,,,,,,,
p1k_00146,ssw__glc_ale1__1,Substrate-switching Evolution,ssw,glc_ale1,1,Escherichia coli C13.1.133.1,MG1655,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,0.96,Clonal,C13 A1 F133 I1,p1k_00143,HiSeq 2000,PAIRED,ILLUMINA,1,doi.org/10.1128/AEM.00410-17,GSE97944,SRX2744784,SRR5456715,s3://precise-db/raw_data/ssw/glc_ale1_R1.fastq.gz,s3://precise-db/raw_data/ssw/glc_ale1_R2.fastq.gz,Troy Sandberg,Ying Hefner,True,True,True,True,ssw:glc_ale1,True,False,4/18/17,1,,,,,,,
p1k_00147,ssw__glc_ale2__1,Substrate-switching Evolution,ssw,glc_ale2,1,Escherichia coli C13.1.134.1,MG1655,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,0.99,Clonal,C13 A1 F134 I1,p1k_00143,HiSeq 2000,PAIRED,ILLUMINA,1,doi.org/10.1128/AEM.00410-17,GSE97944,SRX2744785,SRR5456716,s3://precise-db/raw_data/ssw/glc_ale2_R1.fastq.gz,s3://precise-db/raw_data/ssw/glc_ale2_R2.fastq.gz,Troy Sandberg,Ying Hefner,True,True,True,True,ssw:glc_ale2,True,False,4/18/17,1,,,,,,,
p1k_00148,ssw__glc_ale3__1,Substrate-switching Evolution,ssw,glc_ale3,1,Escherichia coli C13.6.133.1,MG1655,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,0.97,Clonal,C13 A6 F133 I1,p1k_00143,HiSeq 2000,PAIRED,ILLUMINA,1,doi.org/10.1128/AEM.00410-17,GSE97944,SRX2744786,SRR5456717,s3://precise-db/raw_data/ssw/glc_ale3_R1.fastq.gz,s3://precise-db/raw_data/ssw/glc_ale3_R2.fastq.gz,Troy Sandberg,Ying Hefner,True,True,True,True,ssw:glc_ale3,True,False,4/18/17,1,,,,,,,
p1k_00149,ssw__glyc_ale1__1,Substrate-switching Evolution,ssw,glyc_ale1,1,Escherichia coli SSW_GLY.1.45.1,MG1655,Batch,Endpoint,M9,37,7,glycerol(2.5),NH4Cl(1),O2,sauer trace element mixture,,,0.73,Clonal,SSW GLY A1 F45 I1,p1k_00143,HiSeq 2000,PAIRED,ILLUMINA,1,doi.org/10.1128/AEM.00410-17,GSE97944,SRX2744792,SRR5456723,s3://precise-db/raw_data/ssw/glyc_ale1_R1.fastq.gz,s3://precise-db/raw_data/ssw/glyc_ale1_R2.fastq.gz,Troy Sandberg,Ying Hefner,True,True,True,True,ssw:glyc_ale1,True,False,4/18/17,1,,,,,,,
p1k_00150,ssw__glyc_ale2__1,Substrate-switching Evolution,ssw,glyc_ale2,1,Escherichia coli SSW_GLY.2.45.1,MG1655,Batch,Endpoint,M9,37,7,glycerol(2.5),NH4Cl(1),O2,sauer trace element mixture,,,0.76,Clonal,SSW GLY A2 F45 I1,p1k_00143,HiSeq 2000,PAIRED,ILLUMINA,1,doi.org/10.1128/AEM.00410-17,GSE97944,SRX2744793,SRR5456724,s3://precise-db/raw_data/ssw/glyc_ale2_R1.fastq.gz,s3://precise-db/raw_data/ssw/glyc_ale2_R2.fastq.gz,Troy Sandberg,Ying Hefner,True,True,True,True,ssw:glyc_ale2,True,False,4/18/17,1,,,,,,,
p1k_00151,ssw__xyl_ale1__1,Substrate-switching Evolution,ssw,xyl_ale1,1,Escherichia coli SSW_XYL.1.20.1,MG1655,Batch,Endpoint,M9,37,7,xylose(4),NH4Cl(1),O2,sauer trace element mixture,,,0.76,Clonal,SSW XYL A1 F20 I1,p1k_00143,HiSeq 2000,PAIRED,ILLUMINA,1,doi.org/10.1128/AEM.00410-17,GSE97944,SRX2744796,SRR5456727,s3://precise-db/raw_data/ssw/xyl_ale1_R1.fastq.gz,s3://precise-db/raw_data/ssw/xyl_ale1_R2.fastq.gz,Troy Sandberg,Ying Hefner,True,False,True,True,ssw:xyl_ale1,True,False,4/18/17,1,,,,,,,
p1k_00152,ssw__xyl_ale2__1,Substrate-switching Evolution,ssw,xyl_ale2,1,Escherichia coli SSW_XYL.2.20.1,MG1655,Batch,Endpoint,M9,37,7,xylose(4),NH4Cl(1),O2,sauer trace element mixture,,,0.74,Clonal,SSW XYL A2 F20 I1,p1k_00143,HiSeq 2000,PAIRED,ILLUMINA,1,doi.org/10.1128/AEM.00410-17,GSE97944,SRX2744797,SRR5456728,s3://precise-db/raw_data/ssw/xyl_ale2_R1.fastq.gz,s3://precise-db/raw_data/ssw/xyl_ale2_R2.fastq.gz,Troy Sandberg,Ying Hefner,True,True,True,True,ssw:xyl_ale2,True,False,4/18/17,1,,,,,,,
p1k_00153,ssw__xyl_ale3__1,Substrate-switching Evolution,ssw,xyl_ale3,1,Escherichia coli SSW_XYL.3.20.1,MG1655,Batch,Endpoint,M9,37,7,xylose(4),NH4Cl(1),O2,sauer trace element mixture,,,0.71,Clonal,SSW XYL A3 F20 I1,p1k_00143,HiSeq 2000,PAIRED,ILLUMINA,1,doi.org/10.1128/AEM.00410-17,GSE97944,SRX2744798,SRR5456729,s3://precise-db/raw_data/ssw/xyl_ale3_R1.fastq.gz,s3://precise-db/raw_data/ssw/xyl_ale3_R2.fastq.gz,Troy Sandberg,Ying Hefner,True,True,True,True,ssw:xyl_ale3,True,False,4/18/17,1,,,,,,,
p1k_00154,ssw__glc_ac_ac2__1,Substrate-switching Evolution,ssw,glc_ac_ac2,1,Escherichia coli SSW_GLU_AC.9.92.4,MG1655,Batch,Endpoint,M9,37,7,acetate(4),NH4Cl(1),O2,sauer trace element mixture,,,0.39,Clonal,SSW GLU AC A9 F92 I4,p1k_00143,HiSeq 2000,PAIRED,ILLUMINA,1,doi.org/10.1128/AEM.00410-17,GSE97944,SRX2744788,SRR5456719,s3://precise-db/raw_data/ssw/glc_ac_ac2_R1.fastq.gz,s3://precise-db/raw_data/ssw/glc_ac_ac2_R2.fastq.gz,Troy Sandberg,Ying Hefner,True,True,True,True,ssw:glc_ac_ac2,True,False,4/18/17,1,,,,,,,
p1k_00155,ssw__glc_ac_glc1__1,Substrate-switching Evolution,ssw,glc_ac_glc1,1,Escherichia coli SSW_GLU_AC.9.92.3,MG1655,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,0.89,Clonal,SSW GLU AC A9 F92 I3,p1k_00143,HiSeq 2000,PAIRED,ILLUMINA,1,doi.org/10.1128/AEM.00410-17,GSE97944,SRX2744787,SRR5456718,s3://precise-db/raw_data/ssw/glc_ac_glc1_R1.fastq.gz,s3://precise-db/raw_data/ssw/glc_ac_glc1_R2.fastq.gz,Troy Sandberg,Ying Hefner,True,True,True,True,ssw:glc_ac_glc1,True,False,4/18/17,1,,,,,,,
p1k_00157,ssw__glc_glyc_glc__1,Substrate-switching Evolution,ssw,glc_glyc_glc,1,Escherichia coli SSW_GLU_GLY.4.165.2,MG1655,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,0.93,Clonal,SSW GLU GLY A4 F165 I2,p1k_00143,HiSeq 2000,PAIRED,ILLUMINA,1,doi.org/10.1128/AEM.00410-17,GSE97944,SRX2744789,SRR5456720,s3://precise-db/raw_data/ssw/glc_glyc_glc_R1.fastq.gz,s3://precise-db/raw_data/ssw/glc_glyc_glc_R2.fastq.gz,Troy Sandberg,Ying Hefner,True,True,True,True,ssw:glc_glyc_glc,True,False,4/18/17,1,,,,,,,
p1k_00158,ssw__glc_glyc_glyc__1,Substrate-switching Evolution,ssw,glc_glyc_glyc,1,Escherichia coli SSW_GLU_GLY.4.165.2,MG1655,Batch,Endpoint,M9,37,7,glycerol(2.5),NH4Cl(1),O2,sauer trace element mixture,,,0.85,Clonal,SSW GLU GLY A4 F165 I2,p1k_00143,HiSeq 2000,PAIRED,ILLUMINA,1,doi.org/10.1128/AEM.00410-17,GSE97944,SRX2744794,SRR5456725,s3://precise-db/raw_data/ssw/glc_glyc_glyc_R1.fastq.gz,s3://precise-db/raw_data/ssw/glc_glyc_glyc_R2.fastq.gz,Troy Sandberg,Ying Hefner,True,True,True,True,ssw:glc_glyc_glyc,True,False,4/18/17,1,,,,,,,
p1k_00159,ssw__glc_xyl_glc__1,Substrate-switching Evolution,ssw,glc_xyl_glc,1,Escherichia coli SSW_GLU_XYL.2.165.1,MG1655,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,0.96,Clonal,SSW GLU GLY A2 F165 I1,p1k_00143,HiSeq 2000,PAIRED,ILLUMINA,1,doi.org/10.1128/AEM.00410-17,GSE97944,SRX2744790,SRR5456721,s3://precise-db/raw_data/ssw/glc_xyl_glc_R1.fastq.gz,s3://precise-db/raw_data/ssw/glc_xyl_glc_R2.fastq.gz,Troy Sandberg,Ying Hefner,True,True,True,True,ssw:glc_xyl_glc,True,False,4/18/17,1,,,,,,,
p1k_00160,ssw__glc_xyl_xyl__1,Substrate-switching Evolution,ssw,glc_xyl_xyl,1,Escherichia coli SSW_GLU_XYL.2.165.1,MG1655,Batch,Endpoint,M9,37,7,xylose(4),NH4Cl(1),O2,sauer trace element mixture,,,0.75,Clonal,SSW GLU XYL A2 F165 I1,p1k_00143,HiSeq 2000,PAIRED,ILLUMINA,1,doi.org/10.1128/AEM.00410-17,GSE97944,SRX2744799,SRR5456730,s3://precise-db/raw_data/ssw/glc_xyl_xyl_R1.fastq.gz,s3://precise-db/raw_data/ssw/glc_xyl_xyl_R2.fastq.gz,Troy Sandberg,Ying Hefner,True,True,True,True,ssw:glc_xyl_xyl,True,False,4/18/17,1,,,,,,,
p1k_00221,fps__fps_thrA_ale1__1,False Positives,fps,fps_thrA_ale1,1,Escherichia coli FPS thrA.1.5.1,BW25113,Batch,Endpoint,M9,37,7,glucose(2),NH4Cl(1),O2,sauer trace element mixture,,,0.54,Clonal,,p1k_00219,p1k_00220,NextSeq 550,PAIRED,ILLUMINA,2,doi.org/10.1186/s12918-018-0653-z,GSE117303,SRX4403861,SRR7536296,s3://precise-db/raw_data/fps/SRR7536296_1.fastq.gz,s3://precise-db/raw_data/fps/SRR7536296_2.fastq.gz,Gabriela Guzman,Sibei (Julia) Xu,True,True,True,True,fps:fps_thrA_ale1,True,True,5/29/18,2,,,,,,
p1k_00222,fps__fps_thrA_ale1__2,False Positives,fps,fps_thrA_ale1,2,Escherichia coli FPS thrA.1.5.1,BW25113,Batch,Endpoint,M9,37,7,glucose(2),NH4Cl(1),O2,sauer trace element mixture,,,0.54,Clonal,,p1k_00219,p1k_00220,NextSeq 550,PAIRED,ILLUMINA,2,doi.org/10.1186/s12918-018-0653-z,GSE117303,SRX4403862,SRR7536297,s3://precise-db/raw_data/fps/SRR7536297_1.fastq.gz,s3://precise-db/raw_data/fps/SRR7536297_2.fastq.gz,Gabriela Guzman,Sibei (Julia) Xu,True,True,True,True,fps:fps_thrA_ale1,True,True,5/29/18,2,,,,,,
p1k_00223,fps__fps_thrA_ale2__1,False Positives,fps,fps_thrA_ale2,1,Escherichia coli FPS thrA.2.1.0,BW25113,Batch,Endpoint,M9,37,7,glucose(2),NH4Cl(1),O2,sauer trace element mixture,,,0.52,Population,,p1k_00219,p1k_00220,NextSeq 550,PAIRED,ILLUMINA,2,doi.org/10.1186/s12918-018-0653-z,GSE117303,SRX4403869,SRR7536304,s3://precise-db/raw_data/fps/SRR7536304_1.fastq.gz,s3://precise-db/raw_data/fps/SRR7536304_2.fastq.gz,Gabriela Guzman,Sibei (Julia) Xu,True,True,True,True,fps:fps_thrA_ale2,True,True,5/29/18,2,,,,,,
p1k_00224,fps__fps_thrA_ale2__2,False Positives,fps,fps_thrA_ale2,2,Escherichia coli FPS thrA.2.1.0,BW25113,Batch,Endpoint,M9,37,7,glucose(2),NH4Cl(1),O2,sauer trace element mixture,,,0.52,Population,,p1k_00219,p1k_00220,NextSeq 550,PAIRED,ILLUMINA,2,doi.org/10.1186/s12918-018-0653-z,GSE117303,SRX4403870,SRR7536305,s3://precise-db/raw_data/fps/SRR7536305_1.fastq.gz,s3://precise-db/raw_data/fps/SRR7536305_2.fastq.gz,Gabriela Guzman,Sibei (Julia) Xu,True,True,True,True,fps:fps_thrA_ale2,True,True,5/29/18,2,,,,,,
p1k_00225,fps__fps_serB_ale1__1,False Positives,fps,fps_serB_ale1,1,Escherichia coli FPS serB.1.5.1,BW25113,Batch,Endpoint,M9,37,7,glucose(2),NH4Cl(1),O2,sauer trace element mixture,,,0.5,Clonal,,p1k_00219,p1k_00220,NextSeq 550,PAIRED,ILLUMINA,2,doi.org/10.1186/s12918-018-0653-z,GSE117303,SRX4403863,SRR7536298,s3://precise-db/raw_data/fps/SRR7536298_1.fastq.gz,s3://precise-db/raw_data/fps/SRR7536298_2.fastq.gz,Gabriela Guzman,Sibei (Julia) Xu,True,True,True,True,fps:fps_serB_ale1,True,True,5/29/18,2,,,,,,
p1k_00226,fps__fps_serB_ale1__2,False Positives,fps,fps_serB_ale1,2,Escherichia coli FPS serB.1.5.1,BW25113,Batch,Endpoint,M9,37,7,glucose(2),NH4Cl(1),O2,sauer trace element mixture,,,0.5,Clonal,,p1k_00219,p1k_00220,NextSeq 550,PAIRED,ILLUMINA,2,doi.org/10.1186/s12918-018-0653-z,GSE117303,SRX4403864,SRR7536299,s3://precise-db/raw_data/fps/SRR7536299_1.fastq.gz,s3://precise-db/raw_data/fps/SRR7536299_2.fastq.gz,Gabriela Guzman,Sibei (Julia) Xu,True,True,True,True,fps:fps_serB_ale1,True,True,5/29/18,2,,,,,,
p1k_00227,fps__fps_serB_ale4__1,False Positives,fps,fps_serB_ale4,1,Escherichia coli FPS serB.4.1.0,BW25113,Batch,Endpoint,M9,37,7,glucose(2),NH4Cl(1),O2,sauer trace element mixture,,,0.5,Population,,p1k_00219,p1k_00220,NextSeq 550,PAIRED,ILLUMINA,2,doi.org/10.1186/s12918-018-0653-z,GSE117303,SRX4403871,SRR7536306,s3://precise-db/raw_data/fps/SRR7536306_1.fastq.gz,s3://precise-db/raw_data/fps/SRR7536306_2.fastq.gz,Gabriela Guzman,Sibei (Julia) Xu,True,True,True,True,fps:fps_serB_ale4,True,True,5/29/18,2,,,,,,
p1k_00228,fps__fps_serB_ale4__2,False Positives,fps,fps_serB_ale4,2,Escherichia coli FPS serB.4.1.0,BW25113,Batch,Endpoint,M9,37,7,glucose(2),NH4Cl(1),O2,sauer trace element mixture,,,0.5,Population,,p1k_00219,p1k_00220,NextSeq 550,PAIRED,ILLUMINA,2,doi.org/10.1186/s12918-018-0653-z,GSE117303,SRX4403872,SRR7536307,s3://precise-db/raw_data/fps/SRR7536307_1.fastq.gz,s3://precise-db/raw_data/fps/SRR7536307_2.fastq.gz,Gabriela Guzman,Sibei (Julia) Xu,True,True,True,True,fps:fps_serB_ale4,True,True,5/29/18,2,,,,,,
p1k_00229,fps__fps_ptsI_ale1__1,False Positives,fps,fps_ptsI_ale1,1,Escherichia coli FPS ptsI.1.5.1,BW25113,Batch,Endpoint,M9,37,7,glucose(2),NH4Cl(1),O2,sauer trace element mixture,,,0.41,Clonal,,p1k_00219,p1k_00220,NextSeq 550,PAIRED,ILLUMINA,2,doi.org/10.1186/s12918-018-0653-z,GSE117303,SRX4403865,SRR7536300,s3://precise-db/raw_data/fps/SRR7536300_1.fastq.gz,s3://precise-db/raw_data/fps/SRR7536300_2.fastq.gz,Gabriela Guzman,Sibei (Julia) Xu,True,True,True,True,fps:fps_ptsI_ale1,True,True,5/29/18,2,,,,,,
